date,ex_wgt,ex_run,ex_walk,ex_climb,ex_lbr,ex_bike,fd_fruit,fd_veg,fd_water,con_w,con_dgt1,con_dgt2,hlt_wgt,hlt_rat,hlt_phys,hlt_ment,hlt_emot,hlt_spir
2020-07-07,0,0,0,0,0,0,2,0,0,1,1,1,0,0,3,7,0,0
2020-07-08,20,0,0,0,0,0,3,0,3,0,0,0,0,4,2,4,0,0
2020-07-09,0,0,0,0,0,0,3,3,7,0,1,1,0,5,3,7,0,0
2020-07-10,0,0,0,0,0,0,4,1,3,0,0,1,0,5,3,5,0,0
2020-07-11,0,0,20,0,50,0,1,3,9,0,0,0,0,3,8,5,0,0
2020-07-12,0,0,40,0,0,0,4,0,6,1,1,1,0,9,7,7,0,0
2020-07-13,0,0,20,0,0,0,2,1,7,0,1,1,0,9,8,8,0,1
2020-07-14,0,0,40,0,0,0,4,2,14,1,1,1,0,7,6,7,0,2
2020-07-15,0,0,0,0,0,0,4,0,7,1,0,1,176,5,5,8,0,2
2020-07-16,0,0,12,0,0,0,3,4,9,1,0,1,171,0,0,0,0,0
2020-07-17,0,0,15,0,0,0,5,3,7,1,1,1,0,10,8,10,0,0
2020-07-18,0,0,100,0,0,0,7,2,10,0,1,1,0,10,8,10,0,0
2020-07-19,0,0,80,0,0,0,4,1,10,0,0,0,0,5,6,8,0,0
2020-07-20,0,40,100,0,0,0,5,2,10,0,1,1,0,10,8,10,0,0
2020-07-21,0,0,100,0,0,0,3,1,8,1,0,1,0,9,5,6,0,0
2020-07-22,0,0,0,0,0,0,4,1,7,0,0,0,0,0,3,3,0,0
2020-07-23,0,0,100,0,0,75,0,1,11,1,1,1,0,9,10,7,7,0
2020-07-24,0,0,0,0,0,120,2,0,21,1,1,1,0,7,9,7,3,0
2020-07-25,0,0,15,0,0,0,7,0,8,1,1,1,0,10,7,8,10,0
2020-07-26,0,0,20,0,80,0,3,0,10,1,1,1,172,8,6,6,9,0
2020-07-27,0,0,0,0,30,0,2,0,8,0,0,1,0,8,4,5,7,0
2020-07-28,30,0,35,0,0,0,4,0,7,1,1,0,0,1,6,4,9,0
2020-07-29,0,0,45,0,0,0,4,1,10,1,1,1,170,8,3,6,6,0
2020-07-30,0,0,0,0,20,15,1,1,9,1,1,1,0,8,6,5,6,0
2020-07-31,0,0,35,0,0,0,1,3,7,1,1,1,172,7,8,4,3,0
2020-08-01,0,0,0,0,240,0,3,0,7,0,1,1,0,2,4,3,2,0
2020-08-02,0,0,87,0,0,0,4,2,7,1,1,1,0,8,4,5,6,0
2020-08-03,27,0,30,0,0,0,3,1,9,1,1,1,172,10,6,5,6,0
2020-08-04,0,0,26,0,0,0,5,1,3,1,1,1,0,10,8,13,8,0
2020-08-05,0,0,49,0,0,0,3,0,7,1,1,0,0,9,7,4,3,0
2020-08-06,0,0,0,0,0,0,3,0,8,0,0,0,0,3,4,2,4,0
2020-08-07,10,0,0,0,0,0,2,2,4,1,0,0,0,5,4,7,3,0
2020-08-08,0,0,85,0,0,0,2,1,7,1,1,1,172,6,5,4,9,0
2020-08-09,0,38,40,0,64,0,3,1,9,0,0,0,172,8,8,8,8,0
2020-08-10,0,0,106,0,0,0,3,4,11,1,1,1,0,0,0,0,0,0
2020-08-11,21,0,41,0,0,0,3,0,7,1,1,1,171,0,0,0,0,0
2020-08-12,0,0,89,0,0,0,4,1,9,0,0,0,171,2,4,2,8,0
2020-08-13,0,0,12,0,0,0,3,2,8,1,1,1,172,7,6,6,6,0
2020-08-14,0,0,62,0,0,0,4,0,8,0,1,0,171,3,7,7,4,0
2020-08-15,0,0,115,0,51,0,3,2,9,0,0,0,171,0,0,0,0,0
2020-08-16,0,0,12,0,0,0,4,0,8,0,1,0,172,0,0,0,0,0
2020-08-17,0,0,60,0,300,0,3,1,5,0,1,1,0,5,8,8,7,0
2020-08-18,0,0,20,0,0,26,2,1,7,0,1,1,0,0,0,0,0,0
2020-08-19,0,0,75,0,0,0,2,0,9,1,1,1,0,9,6,5,8,0
2020-08-20,0,0,34,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0
2020-08-22,0,0,60,0,0,0,2,1,11,1,1,0,0,6,8,4,8,0
2020-08-23,0,0,0,0,120,0,3,1,9,0,0,0,0,0,0,0,0,0
2020-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
